id,vehicle_id,color,automatic,odometer_range,market_country,number_of_doors,number_of_seats,fuel_type,make,description,vehicle_type,horsepower,year,model,body_type,msrp,extras,avg_daily_price,list_countries,list_cities,list_latitudes,list_longitudes
1384926,1384926,,1,0-10,US,5.0,5.0,HYBRID,SUBARU,"Our services:
✈️**LAX guests**✈️
*FREE* *LOWER FEES* shuttle from LAX to our meet up parking lot. Shuttle comes every 7-9 mins right from your arrival terminal. Please select custom delivery location for 
11500 Aviation Blvd, Los Angeles, CA 90045



Yes! It's a HYBRID All-Wheel-Drive!
Up to 90MPGe (gas&electric) 
Brand new 2022 Subaru Crosstrek Hybrid Limited!  

With gas prices now days, this is Perfect for road trips to campsites in any road conditions! 
Tip: Plug in and charge at your camp site and get more mpg to your gas tank!

Features:
Heated seats
Keyless entry
Android auto
Apple car play
Leather interior
Plug in wall charger
Remote a/c starter
X-mode (use when needed in different road conditions)
Big dual screen infotainment 
Adaptive cruise control
Eye sight lane assist 
Semi auto pilot
And many more options!

Please return vehicle in a similar interior and exterior condition as it was rented - does not have to be perfect, just not excessively messy. Thank you!




























*****If you incurred tolls during your trip you will be invoice after the trip end.***",SUV,148.0,2022.0,Crosstrek,FOUR_DOOR_SUV,36345.0,"AIR_MATTRESS,CHILD_SAFETY_SEAT,PET_FEE,CHILD_SAFETY_SEAT,UNLIMITED_MILES",60.0,"US,US","El Monte,South El Monte","34.0869000,34.0532200","-118.0196000,-118.0655100"
1362285,1362285,,1,0-10,US,4.0,,GASOLINE,JEEP,"Come drive this 2022 Wrangler Sahara with Sky one touch! The top comes off with a push of a button. 
This car also comes equipped with the Alpine sound system, and safety features such as blind spot, back up camera/sensors, and adaptive cruise control. 
This is a true road trip vehicle for desert terrain, mountain, or beach adventures in California.",SUV,285.0,2022.0,Wrangler Unlimited,FOUR_DOOR_SUV,42150.0,"AIR_MATTRESS,PREPAID_REFUEL",89.0,US,Los Angeles,34.1812300,-118.4480300
1339166,1339166,WHITE,1,0-10,US,4.0,7.0,GASOLINE,JEEP,"Meet Colorado’s most reliable notorious Jeep! This NEW 2022 Jeep Grand Cherokee L 4x4 WITH THIRD ROW SEATING is sure to never disappoint. Enjoy a night out on the town for a special occasion or any destination.  As your host, we will make this an EASY and SEAMLESS process and provide the car clean for your experience! ARE YOU READY TO HAVE A GREAT TIME?

Features that you will LOVE:
- Apple Car Play/AndroId Audio
- Bluetooth
- Aux input, USB Input, and 110-volt standard plug!!
- Power Windows and Power locks
- 4WD - To handle any situation
- 5 Speed Automatic Transmission

Fun & Adventure 🚓. 
 
This Jeep will be sure to keep heads on a swivel.  Whether cruising the mountains, camping, visiting Aspen, Vail, Estes Park, an important business meeting, or even a celebratory photoshoot.  This vehicle is amazing and the opportunities and fun times are endless! 

** Avoid the 10% Turo Airport Fee, of your total booking, by choosing the Home Location for FREE, DIA delivery! **

With Turo’s Policy changes as of 06/02/2022, there is no longer free parking for Turo vehicles in the airport parking lots. The guest will now be responsible for parking costs upon exiting the lot, and the host is responsible for paying for parking after you drop the vehicle off. 

Home Location (6 minutes from airport by
free shuttle, on airport property): Due to my free delivery and parking costs in order to make pick up a breeze for you, the only fee you’ll have to pay is leaving the lot. That can be up to $24, however, most of the time it’s not that much. You won’t be responsible to pay for any parking once you drop the vehicle off, as I will cover any parking costs that take place upon completion of your reservation. 

Make sure you register anyone else who wants to drive it with Turo. Otherwise, you have no insurance!

I know you aren't renting this Jeep just to get from one place to another. You are renting this car for the ""experience"".  I am committed to making sure you have a great experience.

VEHICLE RULES

-RE-FUELING: This car will be given to each renter with a full tank. Please return vehicle with a full tank or purchase the prepaid-refuel option.

**This car will be given to each guest clean.  To avoid any additional fees, please return the vehicle cleaned and fueled if option is not selected at checkout**

⚠️🚭🚭🚭ABSOLUTELY NO SMOKING! 🚭🚭🚭⚠️

No Pets 🐕 🐶

Please return the car at the agreed time for your booking. Anything over the scheduled return time will not be covered by the insurance which will require us to charge you late fee. So please plan accordingly and use the app for all trip extension requests.  

Express Toll transponder #: 6508438

——— TRIP EXTENSIONS/CHANGES———
1.) Go to the “Trip Details Tab”
2.) Click “Modify Trip”
3.) Change time, date, or location
4.) Wait for me to approve the change

NOTE: As long as my vehicle is available, I will always approve the request.  Keep in mind if the vehicle is scheduled to go back out the same day your request may not be approved, however most of the time, it’s not an issue. The time window between rentals is critical to ensuring a great customer experience.

Thank you for allowing me the opportunity to give you an AMAZING experience here in the Mile High!",SUV,293.0,2022.0,Grand Cherokee L,FOUR_DOOR_SUV,48645.0,"AIR_MATTRESS,SLEEPING_BAG,UNLIMITED_MILES,PREPAID_REFUEL,CHILD_SAFETY_SEAT,COOLER,STROLLER,CAMP_CHAIR,CAMPING_TENT,PET_FEE",117.0,"US,US,US,US","Denver,Denver,Aurora,Aurora","39.8329800,39.8213600,39.8198100,39.6833800","-104.7047300,-104.7732900,-104.6877000,-104.8109200"
1350801,1350801,,1,30-40,US,4.0,5.0,GASOLINE,VOLKSWAGEN,"Our VW station wagon gets great gas mileage and is the perfect car for outdoor activities. It has a roof rack for canoes, stand up paddle boards or surfboards. It has enough room for a family of five. Spacious trunk for beach gear and luggage. The back up camera makes it easy to park.",CAR,170.0,2016.0,Golf SportWagen,WAGON,22725.0,"BEACH_GEAR,BEACH_GEAR,BEACH_GEAR,BEACH_GEAR",59.0,US,Kailua,21.3873200,-157.7293900
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,22955.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,16950.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,18965.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,18565.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,22025.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
1392963,1392963,,1,80-90,US,4.0,5.0,GASOLINE,TOYOTA,"Aloha and welcome! Sporty and reliable Toyota Corolla. Safe and comfortable. Great AC. Great gas mileage. Great overall experience!

Explore Oahu with UNLIMITED miles!
Don't forget to check out the extras for beach gear or car seats. 

It will always be cleaned and sanitized for your safety.

All pickups and returns will be contactless at my location listed. Thank you for understanding I am not able to do any deliveries. 

I look forward to hosting your Turo experience. Mahalo!",CAR,132.0,2015.0,Corolla,SEDAN,19895.0,"BEACH_GEAR,CHILD_SAFETY_SEAT,CHILD_SAFETY_SEAT,PREPAID_REFUEL",65.0,US,Kaneohe,21.3924400,-157.7970200
